Time|Position_1|Position_2|Position_3|Position_4|Position_5|Position_6|Velocity_1|Velocity_2|Velocity_3|Velocity_4|Velocity_5|Velocity_6|Acceleration_1|Acceleration_2|Acceleration_3|Acceleration_4|Acceleration_5|Acceleration_6
1.699 sec|-2.7198047510245|-0.405590718219137|-0.913763603963951|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.7283 sec|-2.7198047510245|-0.391707417351|-0.910898795848303|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.7576 sec|-2.7198047510245|-0.377824116482863|-0.908033987732656|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.7869 sec|-2.7198047510245|-0.363940815614727|-0.905169179617009|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.8162 sec|-2.7198047510245|-0.35005751474659|-0.902304371501361|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.8455 sec|-2.7198047510245|-0.336174213878453|-0.899439563385714|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.8747 sec|-2.7198047510245|-0.322290913010317|-0.896574755270067|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.904 sec|-2.7198047510245|-0.30840761214218|-0.89370994715442|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.9333 sec|-2.7198047510245|-0.294524311274043|-0.890845139038772|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|-0.490290173345612|-0.101170988150682|0|0|0
1.9626 sec|-2.7198047510245|-0.280851363449363|-0.888023737106696|0|0|0|0|0.459585132186595|0.0948350272765989|0|0|0|0|-0.490290173345612|-0.101170988150682|0|0|0
1.9919 sec|-2.7198047510245|-0.267599121711596|-0.88528914754176|0|0|0|0|0.445223096805764|0.0918714326742052|0|0|0|0|-0.490290173345612|-0.101170988150682|0|0|0
2.0212 sec|-2.7198047510245|-0.254767586060743|-0.882641370343964|0|0|0|0|0.430861061424932|0.0889078380718115|0|0|0|0|-0.490290173345612|-0.101170988150682|0|0|0
2.0505 sec|-2.7198047510245|-0.242356756496802|-0.88008040551331|0|0|0|0|0.416499026044101|0.0859442434694178|0|0|0|0|-0.490290173345612|-0.101170988150682|0|0|0
2.0798 sec|-2.7198047510245|-0.230366633019775|-0.877606253049796|0|0|0|0|0.40213699066327|0.082980648867024|0|0|0|0|-0.490290173345612|-0.101170988150682|0|0|0
2.1091 sec|-2.7198047510245|-0.218797215629661|-0.875218912953424|0|0|0|0|0.387774955282439|0.0800170542646303|0|0|0|0|-0.490290173345612|-0.101170988150682|0|0|0
2.1384 sec|-2.7198047510245|-0.20764850432646|-0.872918385224192|0|0|0|0|0.373412919901608|0.0770534596622366|0|0|0|0|-0.490290173345612|-0.101170988150682|0|0|0
